word_a,word_b,ipa_a,ipa_b,distance
opinion,opinion,əpɪnjən,əpɪnjən,0.0
opinion,opinions,əpɪnjən,əpɪnjənz,0.125
opinion,dominion,əpɪnjən,dəmɪnjən,0.15625
opinion,avignon,əpɪnjən,ævɪnjɔn,0.21428571428571427
opinion,abandon,əpɪnjən,əbændən,0.24999999999999997
opinion,billion,əpɪnjən,bɪljən,0.24999999999999997
opinion,civilian,əpɪnjən,səvɪljən,0.25
opinion,pavilion,əpɪnjən,pəvɪljən,0.25
opinion,comedian,əpɪnjən,kəmidiən,0.28125
opinion,abundance,əpɪnjən,əbəndəns,0.28125
opinion,bàn yǎn,əpɪnjən,panjɛn,0.2857142857142857
opinion,bì miǎn,əpɪnjən,pimjɛn,0.3214285714285714
opinion,gài niàn,əpɪnjən,kaɪnjɛn,0.3214285714285714
opinion,běn shēn,əpɪnjən,pənʂən,0.3214285714285714
opinion,bài nián,əpɪnjən,paɪnjɛn,0.3214285714285714
opinion,běn rén,əpɪnjən,pənʐən,0.3214285714285714
opinion,màn yán,əpɪnjən,manjɛn,0.3214285714285714
opinion,fēn fēn,əpɪnjən,fənfən,0.3571428571428571
opinion,sī niàn,əpɪnjən,sɯnjɛn,0.35714285714285715
opinion,xiān yàn,əpɪnjən,ɕjɛnjɛn,0.3928571428571428
saves,saves,seɪvz,seɪvz,0.0
saves,slaves,seɪvz,sleɪvz,0.16666666666666666
saves,sails,seɪvz,seɪlz,0.2
saves,sales,seɪvz,seɪlz,0.2
saves,saved,seɪvz,seɪvd,0.2
saves,save,seɪvz,seɪv,0.2
saves,waves,seɪvz,weɪvz,0.2
saves,caves,seɪvz,keɪvz,0.2
saves,safe,seɪvz,seɪf,0.2
saves,safely,seɪvz,seɪfli,0.24999999999999997
saves,fēi fǎ,seɪvz,feɪfa,0.4
saves,dài fu,seɪvz,taɪfu,0.4
saves,duì fu,seɪvz,tweɪfu,0.41666666666666663
saves,dài bǔ,seɪvz,taɪpu,0.45
saves,bēi bǐ,seɪvz,peɪpi,0.45000000000000007
saves,wěi ba,seɪvz,weɪpa,0.45000000000000007
saves,wèi bì,seɪvz,weɪpi,0.45000000000000007
saves,sī fǎ,seɪvz,sɯfa,0.45000000000000007
saves,duì bǐ,seɪvz,tweɪpi,0.45833333333333326
saves,cái fù,seɪvz,tsʰaɪfu,0.49999999999999994
powered,powered,paʊərd,paʊərd,0.0
powered,fired,paʊərd,faɪərd,0.125
powered,coward,paʊərd,kaʊərd,0.16666666666666666
powered,packard,paʊərd,pækərd,0.16666666666666666
powered,powers,paʊərd,paʊərz,0.16666666666666666
powered,battered,paʊərd,bætərd,0.16666666666666666
powered,howard,paʊərd,haʊərd,0.16666666666666666
powered,bauer,paʊərd,baʊər,0.16666666666666666
powered,ballard,paʊərd,bælərd,0.16666666666666666
powered,power,paʊərd,paʊər,0.16666666666666666
powered,bāo hán,paʊərd,pɑʊxan,0.37499999999999994
powered,bào yuàn,paʊərd,pɑʊɥœn,0.37499999999999994
powered,bào lì,paʊərd,pɑʊli,0.41666666666666663
powered,bào lù,paʊərd,pɑʊlu,0.41666666666666663
powered,fā yán,paʊərd,fajɛn,0.41666666666666663
powered,fǎ yuàn,paʊərd,faɥœn,0.41666666666666663
powered,fā yán,paʊərd,fajɛn,0.41666666666666663
powered,fǎ rén,paʊərd,faʐən,0.41666666666666663
powered,bǎo xiǎn,paʊərd,pɑʊɕjɛn,0.42857142857142855
powered,biǎo yǎn,paʊərd,pjɑʊjɛn,0.42857142857142855
resolutions,resolutions,rɛzəluʃənz,rɛzəluʃənz,0.0
resolutions,revolutions,rɛzəluʃənz,rɛvəluʃənz,0.1
resolutions,resolution,rɛzəluʃənz,rɛzəluʃən,0.1
resolutions,revolution,rɛzəluʃənz,rɛvəluʃən,0.2
resolutions,solutions,rɛzəluʃənz,səluʃənz,0.25
resolutions,revelations,rɛzəluʃənz,rɛvəleɪʃənz,0.2727272727272727
resolutions,revolutionary,rɛzəluʃənz,rɛvəluʃənɛri,0.29166666666666663
resolutions,reservations,rɛzəluʃənz,rɛzərveɪʃənz,0.29166666666666663
resolutions,dissolution,rɛzəluʃənz,dɪsəluʃən,0.3
resolutions,evolution,rɛzəluʃənz,ɛvəluʃən,0.3
resolutions,rèn zhēn,rɛzəluʃənz,ʐənʈʂən,0.5249999999999999
resolutions,jié lùn,rɛzəluʃənz,tɕjɛlwən,0.525
resolutions,yán lùn,rɛzəluʃənz,jɛnlwən,0.525
resolutions,rén yuán,rɛzəluʃənz,ʐənɥœn,0.55
resolutions,lǐ lùn,rɛzəluʃənz,lilwən,0.55
resolutions,lùn wén,rɛzəluʃənz,lwənwən,0.55
resolutions,zhǔ rén,rɛzəluʃənz,ʈʂuʐən,0.575
resolutions,zhēng lùn,rɛzəluʃənz,ʈʂɤŋlwən,0.575
resolutions,chū shēn,rɛzəluʃənz,ʈʂʰuʂən,0.575
resolutions,chū shén,rɛzəluʃənz,ʈʂʰuʂən,0.575
xìng zhì bó bó,ethiopia,ɕiŋʈʂɨpwɔpwɔ,iθioʊpiə,0.6249999999999999
xìng zhì bó bó,cctv,ɕiŋʈʂɨpwɔpwɔ,sisitivi,0.625
xìng zhì bó bó,acceptable,ɕiŋʈʂɨpwɔpwɔ,əksɛptəbəl,0.625
xìng zhì bó bó,testimony,ɕiŋʈʂɨpwɔpwɔ,tɛstɪmoʊni,0.625
xìng zhì bó bó,thirty-five,ɕiŋʈʂɨpwɔpwɔ,θərdifaɪv,0.6458333333333333
xìng zhì bó bó,steamship,ɕiŋʈʂɨpwɔpwɔ,stimʃɪp,0.6458333333333333
xìng zhì bó bó,susceptible,ɕiŋʈʂɨpwɔpwɔ,səsɛptəbəl,0.6458333333333333
xìng zhì bó bó,luxembourg,ɕiŋʈʂɨpwɔpwɔ,ləksəmbɔrg,0.6458333333333333
xìng zhì bó bó,saxophone,ɕiŋʈʂɨpwɔpwɔ,sæksəfoʊn,0.6458333333333334
xìng zhì bó bó,hip-hop,ɕiŋʈʂɨpwɔpwɔ,hɪphɔp,0.6458333333333334
xìng zhì bó bó,xìng zhì bó bó,ɕiŋʈʂɨpwɔpwɔ,ɕiŋʈʂɨpwɔpwɔ,0.0
xìng zhì bó bó,zhuó mó,ɕiŋʈʂɨpwɔpwɔ,ʈʂwɔmwɔ,0.43750000000000006
xìng zhì bó bó,zhāo qì péng bó,ɕiŋʈʂɨpwɔpwɔ,ʈʂɑʊtɕʰipʰɤŋpwɔ,0.4666666666666667
xìng zhì bó bó,xíng zhuàng,ɕiŋʈʂɨpwɔpwɔ,ɕiŋʈʂwɑŋ,0.4791666666666667
xìng zhì bó bó,jīn jīn yǒu wèi,ɕiŋʈʂɨpwɔpwɔ,tɕintɕinyoʊweɪ,0.48214285714285715
xìng zhì bó bó,xìng zhì,ɕiŋʈʂɨpwɔpwɔ,ɕiŋʈʂɨ,0.5
xìng zhì bó bó,zhí bō,ɕiŋʈʂɨpwɔpwɔ,ʈʂɨpwɔ,0.5
xìng zhì bó bó,lǐng shì guǎn,ɕiŋʈʂɨpwɔpwɔ,liŋʂɨkwan,0.5208333333333334
xìng zhì bó bó,xíng chéng,ɕiŋʈʂɨpwɔpwɔ,ɕiŋʈʂʰɤŋ,0.5208333333333334
xìng zhì bó bó,xíng zhèng,ɕiŋʈʂɨpwɔpwɔ,ɕiŋʈʂɤŋ,0.5208333333333334
hooper,hooper,hupər,hupər,0.0
hooper,hoover,hupər,huvər,0.05
hooper,super,hupər,supər,0.15000000000000002
hooper,huber,hupər,hjubər,0.16666666666666666
hooper,cooper,hupər,kupər,0.2
hooper,rumor,hupər,rumər,0.2
hooper,tumor,hupər,tumər,0.2
hooper,hopper,hupər,hɑpər,0.2
hooper,humor,hupər,hjumər,0.20833333333333331
hooper,schubert,hupər,ʃubərt,0.20833333333333331
hooper,jù běn,hupər,tɕypən,0.375
hooper,bù mén,hupər,pumən,0.44999999999999996
hooper,gǔ fèn,hupər,kufən,0.45000000000000007
hooper,bù fèn,hupər,pufən,0.45000000000000007
hooper,jù bèi,hupər,tɕypeɪ,0.4583333333333333
hooper,shù mǎ,hupər,ʂuma,0.5
hooper,xù yán,hupər,ɕyjɛn,0.5
hooper,xù mù,hupər,ɕymu,0.5
hooper,xún wèn,hupər,ɕynwən,0.5
hooper,qū fēn,hupər,tɕʰyfən,0.5
war's,war's,wɔrz,wɔrz,0.0
war's,wars,wɔrz,wɔrz,0.0
war's,walls,wɔrz,wɔlz,0.125
war's,wears,wɔrz,wɛrz,0.125
war's,warns,wɔrz,wɔrnz,0.2
war's,wards,wɔrz,wɔrdz,0.2
war's,shores,wɔrz,ʃɔrz,0.25
war's,doors,wɔrz,dɔrz,0.25
war's,cores,wɔrz,kɔrz,0.25
war's,warp,wɔrz,wɔrp,0.25
war's,wò shì,wɔrz,wɔʂɨ,0.4375
war's,guò lǜ,wɔrz,kwɔly,0.5
war's,bō li,wɔrz,pwɔli,0.5
war's,wǒ,wɔrz,wɔ,0.5
war's,huó lì,wɔrz,xwɔli,0.5
war's,wō,wɔrz,wɔ,0.5
war's,guǒ zhī,wɔrz,kwɔʈʂɨ,0.5416666666666666
war's,huò zhě,wɔrz,xwɔʈʂɤ,0.5416666666666666
war's,bó zi,wɔrz,pwɔtsɯ,0.5416666666666666
war's,guò dù,wɔrz,kwɔtu,0.55
potts,bats,pɑts,bæts,0.0
potts,potts,pɑts,pɑts,0.0
potts,pots,pɑts,pɑts,0.0
potts,mats,pɑts,mæts,0.0625
potts,fats,pɑts,fæts,0.0625
potts,baths,pɑts,bæθs,0.1875
potts,paths,pɑts,pæθs,0.1875
potts,beats,pɑts,bits,0.1875
potts,pits,pɑts,pɪts,0.1875
potts,pets,pɑts,pɛts,0.1875
potts,fā dá,pɑts,fata,0.3125
potts,bāo zi,pɑts,pɑʊtsɯ,0.3333333333333333
potts,bí zi,pɑts,pitsɯ,0.35
potts,mǎn zú,pɑts,mantsu,0.37499999999999994
potts,mào zi,pɑts,mɑʊtsɯ,0.37499999999999994
potts,bà dào,pɑts,patɑʊ,0.4
potts,bù zú,pɑts,putsu,0.4
potts,wà zi,pɑts,watsɯ,0.4
potts,fǎn sī,pɑts,fansɯ,0.4
potts,bào dá,pɑts,pɑʊta,0.4
sad,sad,sæd,sæd,0.0
sad,san,sæd,sæn,0.08333333333333333
sad,todd,sæd,tɑd,0.16666666666666666
sad,sat,sæd,sæt,0.16666666666666666
sad,said,sæd,sɛd,0.25
sad,lad,sæd,læd,0.25
sad,had,sæd,hæd,0.25
sad,saab,sæd,sɑb,0.25
sad,side,sæd,saɪd,0.25
sad,saeed,sæd,sɑid,0.25
sad,sān,sæd,san,0.08333333333333333
sad,sǎn,sæd,san,0.08333333333333333
sad,dàn,sæd,tan,0.25
sad,tán,sæd,tan,0.25
sad,rǎn,sæd,ʐan,0.25
sad,zhàn,sæd,ʈʂan,0.3125
sad,zǎn,sæd,tsan,0.3125
sad,suàn,sæd,swan,0.3125
sad,suān,sæd,swan,0.3125
sad,lǎn,sæd,lan,0.3333333333333333
jiāo huàn,taiwan,tɕjɑʊxwan,taɪwɑn,0.3611111111111111
jiāo huàn,tycoon,tɕjɑʊxwan,taɪkun,0.3888888888888889
jiāo huàn,huron,tɕjɑʊxwan,hjʊrɑn,0.4722222222222222
jiāo huàn,icon,tɕjɑʊxwan,aɪkɑn,0.4722222222222222
jiāo huàn,triad,tɕjɑʊxwan,traɪæd,0.4722222222222222
jiāo huàn,traction,tɕjɑʊxwan,trækʃən,0.5
jiāo huàn,spokane,tɕjɑʊxwan,spoʊkæn,0.5
jiāo huàn,typhoon,tɕjɑʊxwan,taɪfun,0.5
jiāo huàn,lichen,tɕjɑʊxwan,laɪkən,0.5
jiāo huàn,taken,tɕjɑʊxwan,teɪkən,0.5
jiāo huàn,jiāo huàn,tɕjɑʊxwan,tɕjɑʊxwan,0.0
jiāo huàn,jiǎo huá,tɕjɑʊxwan,tɕjɑʊxwa,0.1111111111111111
jiāo huàn,tiáo kuǎn,tɕjɑʊxwan,tʰjɑʊkʰwan,0.2
jiāo huàn,jiāo wǎng,tɕjɑʊxwan,tɕjɑʊwɑŋ,0.2222222222222222
jiāo huàn,xiāo huà,tɕjɑʊxwan,ɕjɑʊxwa,0.2222222222222222
jiāo huàn,xiào huà,tɕjɑʊxwan,ɕjɑʊxwa,0.2222222222222222
jiāo huàn,xiāng guān,tɕjɑʊxwan,ɕjɑŋkwan,0.2222222222222222
jiāo huàn,jiǎo bàn,tɕjɑʊxwan,tɕjɑʊpan,0.2222222222222222
jiāo huàn,jí guàn,tɕjɑʊxwan,tɕikwan,0.25
jiāo huàn,jǐn guǎn,tɕjɑʊxwan,tɕinkwan,0.25
states,state's,steɪts,steɪts,0.0
states,states,steɪts,steɪts,0.0
states,estates,steɪts,ɛsteɪts,0.14285714285714285
states,straits,steɪts,streɪts,0.14285714285714285
states,state,steɪts,steɪt,0.16666666666666666
states,stakes,steɪts,steɪks,0.16666666666666666
states,struts,steɪts,strəts,0.20833333333333331
states,traits,steɪts,treɪts,0.20833333333333331
states,stated,steɪts,steɪtɪd,0.24999999999999997
states,stunts,steɪts,stənts,0.24999999999999997
states,suí zhe,steɪts,sweɪʈʂɤ,0.3571428571428571
states,suí jí,steɪts,sweɪtɕi,0.39285714285714285
states,léi dá,steɪts,leɪta,0.41666666666666663
states,guì zú,steɪts,kweɪtsu,0.42857142857142855
states,yī bèi zi,steɪts,ipeɪtsɯ,0.42857142857142855
states,suì dào,steɪts,sweɪtɑʊ,0.42857142857142855
states,guī zé,steɪts,kweɪtsɤ,0.42857142857142855
