,word,occurence,ipa,valid_ipa,dolgo,custom_alphabet_5,custom_alphabet_10,custom_alphabet_15,custom_alphabet_20
0,the,183212978,ðə,True,TV,BA,BA,AB,HL
1,of,86859699,əv,True,VP,AC,AG,BC,LN
2,in,75290639,ɪn,True,VN,AC,HC,BK,LA
3,and,74708386,ənd,True,VNT,ACC,ACC,BKG,LAA
4,a,53698262,ə,True,V,A,A,B,L
5,to,52250362,tɪ,True,TV,BA,CH,GB,RL
6,was,32540285,wɑz,True,RVT,DAB,FDI,DFA,QGJ
7,is,23812199,ɪz,True,VT,AB,HI,BA,LJ
8,on,21691194,ɔn,True,VN,AC,AC,IK,BA
9,for,21634075,fər,True,PVR,CAB,GAJ,CBH,NLJ
10,as,21126503,ɛz,True,VT,AB,AI,MA,LJ
11,with,18605836,wɪθ,True,RVT,DAB,FHB,DBO,QLF
12,by,18143981,baɪ,True,PVV,CAA,GDH,CFB,IGL
13,he,16395831,hi,True,RV,BA,BH,OL,DS
14,that,14608114,ðət,True,TVT,BAB,BAC,ABG,HLR
15,at,14470966,æt,True,VT,AB,DC,FG,GR
16,from,13716922,frəm,True,PRVM,CBAC,GJAG,CHBK,NJLI
17,his,12708933,hɪz,True,RVT,BAB,BHI,OBA,DLJ
18,it,11862812,ɪt,True,VT,AB,HC,BG,LR
19,an,9988978,ən,True,VN,AC,AC,BK,LA
20,were,8516652,wər,True,RVR,DAB,FAJ,DBH,QLJ
21,which,7655695,wɪʧ,True,RV,DAI,FHN,DBS,QLX
22,are,7321844,ər,True,VR,AB,AJ,BH,LJ
23,also,6466616,ɔlsoʊ,True,VRTVV,ABBDD,ACIAH,IJGIB,BJFBO
24,this,6427119,ðɪs,True,TVT,BAB,BHI,ABG,HLF
25,had,6236977,hæd,True,RVT,BAC,BDC,OFG,DGA
26,be,6147211,bi,True,PV,CA,GH,CL,IS
27,first,5897144,fərst,True,PVRTT,CABBB,GAJIC,CBHGG,NLJFR
28,or,5763356,ər,True,VR,AB,AJ,BH,LJ
29,has,5757604,həz,True,RVT,BAB,BAI,OBA,DLJ
30,their,5204422,ðɛr,True,TVR,BAB,BAJ,AMH,HLJ
31,after,5177603,æftər,True,VPTVR,ACBAB,DGCAJ,FCGBH,GNRLJ
32,its,5013169,ɪts,True,VTT,ABB,HCI,BGG,LRF
33,she,4935196,ʃi,True,TV,BA,BH,OL,HS
34,new,4896577,nu,True,NV,CD,CF,KD,AK
35,one,4886342,wən,True,RVN,DAC,FAC,DBK,QLA
36,her,4856636,hər,True,RVR,BAB,BAJ,OBH,DLJ
37,who,4706347,hu,True,RV,BD,BF,OD,DK
38,but,4667563,bət,True,PVT,CAB,GAC,CBG,ILR
39,not,4514518,nɑt,True,NVT,CAB,CDC,KFG,AGR
40,they,4426453,ðeɪ,True,TVV,BAA,BDH,AMB,HLL
41,have,4112228,hæv,True,RVP,BAC,BDG,OFC,DGN
42,two,4098939,tu,True,TV,BD,CF,GD,RK
43,been,3866001,bɪn,True,PVN,CAC,GHC,CBK,ILA
44,other,3524008,əðər,True,VTVR,ABAB,ABAJ,BABH,LHLJ
45,during,3434012,dʊrɪŋ,True,TVRVN,CDBAE,CHJHE,GBHBN,AOJLP
46,when,3345061,wɪn,True,RVN,DAC,FHC,DBK,QLA
47,into,3056889,ɪntu,True,VNTV,ACBD,HCCF,BKGD,LARK
48,all,3039616,ɔl,True,VR,AB,AC,IJ,BJ
49,time,3020983,taɪm,True,TVVM,BAAC,CDHG,GFBK,RGLI
50,there,2959723,ðɛr,True,TVR,BAB,BAJ,AMH,HLJ
51,may,2873968,meɪ,True,MVV,CAA,GDH,KMB,ILL
52,more,2695883,mɔr,True,MVR,CAB,GAJ,KIH,IBJ
53,school,2639637,skul,True,TKVR,BEDB,IEFC,GEDJ,FEKJ
54,years,2608003,jɪrz,True,RVRT,AABB,HHJI,LBHA,CLJJ
55,would,2604524,wʊd,True,RVT,DDC,FHC,DBG,QOA
56,over,2585310,oʊvər,True,VVPVR,DDCAB,AHGAJ,IBCBH,BONLJ
57,later,2518364,leɪtər,True,RVVTVR,BAABAB,CDHCAJ,JMBGBH,JLLRLJ
58,between,2473768,bɪtwin,True,PVTRVN,CABDAC,GHCFHC,CBGDLK,ILRQSA
59,where,2469192,wɛr,True,RVR,DAB,FAJ,DMH,QLJ
60,only,2456335,oʊnli,True,VVNRV,DDCBA,AHCCH,IBKJL,BOAJS
61,national,2396114,næʃənəl,True,NVTVNVR,CABACAB,CDBACAC,KFOBKBJ,AGHLALJ
62,season,2377926,sizən,True,TVTVN,BABAC,IHIAC,GLABK,FSJLA
63,most,2358489,moʊst,True,MVVTT,CDDBB,GAHIC,KIBGG,IBOFR
64,world,2344156,wərld,True,RVRRT,DABBC,FAJCC,DBHJG,QLJJA
65,state,2298841,steɪt,True,TTVVT,BBAAB,ICDHC,GGMBG,FRLLR
66,up,2289075,əp,True,VP,AC,AG,BC,LI
67,city,2286035,sɪti,True,TVTV,BABA,IHCH,GBGL,FLRS
68,some,2256659,səm,True,TVM,BAC,IAG,GBK,FLI
69,university,2245981,junəvərsəti,True,RVNVPVRTVTV,ADCACABBABA,HFCAGAJIACH,LDKBCBHGBGL,CKALNLJFLRS
70,while,2220096,waɪl,True,RVVR,DAAB,FDHC,DFBJ,QGLJ
71,made,2217503,meɪd,True,MVVT,CAAC,GDHC,KMBG,ILLA
72,about,2207158,əbaʊt,True,VPVVT,ACADB,AGDHC,BCFBG,LIGOR
73,then,2205042,ðɛn,True,TVN,BAC,BAC,AMK,HLA
74,three,2202825,θri,True,TRV,BBA,BJH,OHL,FJS
75,united,2187486,junaɪtɪd,True,RVNVVTVT,ADCAABAC,HFCDHCHC,LDKFBGBG,CKAGLRLA
76,him,2179925,ɪm,True,VM,AC,HG,BK,LI
77,such,2174826,səʧ,True,TV,BAI,IAN,GBS,FLX
78,out,2145668,aʊt,True,VVT,ADB,DHC,FBG,GOR
79,team,2130450,tim,True,TVM,BAC,CHG,GLK,RSI
80,film,2103684,fɪlm,True,PVRM,CABC,GHCG,CBJK,NLJI
81,used,2092334,juzd,True,RVTT,ADBC,HFIC,LDAG,CKJA
82,under,2087722,əndər,True,VNTVR,ACCAB,ACCAJ,BKGBH,LAALJ
83,year,2053310,jɪr,True,RVR,AAB,HHJ,LBH,CLJ
84,became,2050642,bɪkeɪm,True,PVKVVM,CAEAAC,GHEDHG,CBEMBK,ILELLI
85,known,2039118,noʊn,True,NVVN,CDDC,CAHC,KIBK,ABOA
86,born,2038170,bɔrn,True,PVRN,CABC,GAJC,CIHK,IBJA
87,part,2033826,pɑrt,True,PVRT,CABB,GDJC,CFHG,IGJR
88,can,2023554,kən,True,KVN,EAC,EAC,EBK,ELA
89,second,1987974,sɛkənd,True,TVKVNT,BAEACC,IAEACC,GMEBKG,FLELAA
90,no,1967610,noʊ,True,NVV,CDD,CAH,KIB,ABO
91,many,1949127,mɛni,True,MVNV,CACA,GACH,KMKL,ILAS
92,states,1933177,steɪts,True,TTVVTT,BBAABB,ICDHCI,GGMBGG,FRLLRF
93,than,1920995,ðən,True,TVN,BAC,BAC,ABK,HLA
