chinese_hanzi,chinese_pinyin,chinese_phonetic,english_word,english_phonetic,distance,chinese_ipa,english_ipa
爱,ài,,i,,0.0,aɪ,aɪ
八,bā,,pa,,0.0,pa,pɑ
爸爸,bà ba,,bobby,,0.1875,papa,bɑbi
杯子,bēi zi,,bates,,0.1666666666666666,peɪtsɯ,beɪts
北京,Běi jīng,,mating,,0.2499999999999999,peɪtɕiŋ,meɪtɪŋ
本,běn,,pun,,0.0,pən,pən
不客气,bù kè qi,,mccarthy,,0.5277777777777777,pukʰɤtɕʰi,məkɑrθi
不,bù,,fu,,0.125,pu,fu
菜,cài,,try,,0.35,tsʰaɪ,traɪ
茶,chá,,sa,,0.5,ʈʂʰa,sɑ
吃,chī,,three,,0.5,ʈʂʰɨ,θri
出租车,chū zū chē,,students,,0.6136363636363635,ʈʂʰutsuʈʂʰɤ,studənts
打电话,dǎ diàn huà,,tatiana,,0.3333333333333333,tatjɛnxwa,tætiænɑ
大,dà,,ta,,0.0,ta,tɑ
的,de,,ta,,0.25,tɤ,tɑ
点,diǎn,,tian,,0.1875,tjɛn,tjɑn
电脑,diàn nǎo,,landau,,0.3571428571428571,tjɛnnɑʊ,lændaʊ
电视,diàn shì,,twenty,,0.2916666666666666,tjɛnʂɨ,twɛnti
电影,diàn yǐng,,dissenting,,0.3571428571428571,tjɛniŋ,dɪsɛnɪŋ
东西,dōng xi,,lengthy,,0.35,tʊŋɕi,lɛŋθi
都,dōu,,tow,,0.0,toʊ,toʊ
读,dú,,two,,0.0,tu,tu
对不起,duì bu qǐ,,swiftly,,0.45,tweɪputɕʰi,swɪftli
多,duō,,swan,,0.375,twɔ,swɔn
多少,duō shao,,swallow,,0.375,twɔʂɑʊ,swɔloʊ
儿子,ér zi,,arts,,0.4,ɑɻtsɯ,ɑrts
二,èr,,i,,0.375,ɑɻ,aɪ
饭馆,fàn guǎn,,antoine,,0.2857142857142857,fankwan,ɑntwɑn
飞机,fēi jī,,fatally,,0.2499999999999999,feɪtɕi,feɪtəli
分钟,fēn zhōng,,fencing,,0.2499999999999999,fənʈʂʊŋ,fɛnsɪŋ
高兴,gāo xìng,,counting,,0.3214285714285714,kɑʊɕiŋ,kaʊntɪŋ
个,gè,,ka,,0.25,kɤ,kɑ
工作,gōng zuò,,kingston,,0.4642857142857143,kʊŋtswɔ,kɪŋstən
狗,gǒu,,co,,0.0,koʊ,koʊ
汉语,Hàn yǔ,,canoe,,0.1875,xany,kənu
好,hǎo,,cao,,0.0,xɑʊ,kaʊ
喝,hē,,ka,,0.25,xɤ,kɑ
和,hé,,ka,,0.25,xɤ,kɑ
很,hěn,,can,,0.0,xən,kən
后面,hòu mian,,conan,,0.2499999999999999,xoʊmjɛn,koʊnən
回,huí,,quake,,0.2,xweɪ,kweɪk
会,huì,,quake,,0.2,xweɪ,kweɪk
火车站,huǒ chē zhàn,,quarantine,,0.5,xwɔʈʂʰɤʈʂan,kwɔrəntin
几,jǐ,,tree,,0.25,tɕi,tri
家,jiā,,tree,,0.5,tɕja,tri
叫,jiào,,liao,,0.35,tɕjɑʊ,liaʊ
今天,jīn tiān,,trenton,,0.4166666666666667,tɕintʰjɛn,trɛntən
九,jiǔ,,trio,,0.2,tɕjoʊ,trioʊ
开,kāi,,chi,,0.25,kʰaɪ,kaɪ
看,kàn,,khan,,0.25,kʰan,kɑn
看见,kàn jiàn,,canton,,0.3611111111111111,kʰantɕjɛn,kæntən
块,kuài,,y,,0.4,kʰwaɪ,waɪ
来,lái,,lie,,0.0,laɪ,laɪ
老师,lǎo shī,,lowry,,0.15,lɑʊʂɨ,laʊri
了,le,,law,,0.125,lɤ,lɔ
冷,lěng,,long,,0.0833333333333333,lɤŋ,lɔŋ
里,lǐ,,lee,,0.0,li,li
零,líng,,leak,,0.1666666666666666,liŋ,lik
六,liù,,leo,,0.0625,ljoʊ,lioʊ
妈妈,mā ma,,mama,,0.1875,mama,mɑmə
吗,ma,,ma,,0.0,ma,mɑ
买,mǎi,,my,,0.0,maɪ,maɪ
猫,māo,,mao,,0.0,mɑʊ,maʊ
没,méi,,may,,0.0,meɪ,meɪ
没关系,méi guān xi,,vacancy,,0.3333333333333333,meɪkwanɕi,veɪkənsi
米饭,mǐ fàn,,nippon,,0.25,mifan,nɪpɑn
明天,míng tiān,,median,,0.375,miŋtʰjɛn,midiən
名字,míng zi,,pizza,,0.2916666666666666,miŋtsɯ,pitsə
哪,nǎ,,na,,0.0,na,nɑ
那,nà,,na,,0.0,na,nɑ
呢,ne,,na,,0.25,nɤ,nɑ
能,néng,,long,,0.3333333333333333,nɤŋ,lɔŋ
你,nǐ,,knee,,0.0,ni,ni
年,nián,,nguyen,,0.2,njɛn,nujɛn
女儿,nǚ ér,,newell,,0.375,nyɑɻ,nuəl
朋友,péng you,,blanco,,0.3571428571428571,pʰɤŋyoʊ,blæŋkoʊ
漂亮,piào liang,,filing,,0.4444444444444444,pʰjɑʊljɑŋ,faɪlɪŋ
苹果,píng guǒ,,banquet,,0.4642857142857142,pʰiŋkwɔ,bæŋkwət
七,qī,,tree,,0.4375,tɕʰi,tri
钱,qián,,trillion,,0.4285714285714285,tɕʰjɛn,trɪljən
前面,qián miàn,,cnn,,0.475,tɕʰjɛnmjɛn,siɛnɛn
请,qǐng,,teaching,,0.5,tɕʰiŋ,tiʧɪŋ
去,qù,,true,,0.4375,tɕʰy,tru
