word_a,word_b,ipa_a,ipa_b,distance
opinion,beacon,əpɪnjən,bikən,0.49999999999999994
opinion,apparel,əpɪnjən,əpærəl,0.49999999999999994
opinion,everyone,əpɪnjən,ɛvriwən,0.49999999999999994
opinion,madison,əpɪnjən,mædɪsən,0.49999999999999994
opinion,radius,əpɪnjən,reɪdiəs,0.49999999999999994
opinion,ivan,əpɪnjən,aɪvən,0.49999999999999994
opinion,summarized,əpɪnjən,səməraɪzd,0.49999999999999994
opinion,odin,əpɪnjən,oʊdən,0.49999999999999994
opinion,coveted,əpɪnjən,kəvətɪd,0.49999999999999994
opinion,irvine,əpɪnjən,ərvaɪn,0.49999999999999994
opinion,huǒ jiàn,əpɪnjən,xwɔtɕjɛn,0.59375
opinion,cán rěn,əpɪnjən,tsʰanʐən,0.59375
opinion,zuǒ bian,əpɪnjən,tswɔpjɛn,0.59375
opinion,zhà piàn,əpɪnjən,ʈʂapʰjɛn,0.59375
opinion,zhuān mén,əpɪnjən,ʈʂwanmən,0.59375
opinion,líng jiàn,əpɪnjən,liŋtɕjɛn,0.59375
opinion,qī xiàn,əpɪnjən,tɕʰiɕjɛn,0.59375
opinion,bù nài fán,əpɪnjən,punaɪfan,0.59375
opinion,xiàng liàn,əpɪnjən,ɕjɑŋljɛn,0.59375
opinion,háng tiān,əpɪnjən,xɑŋtʰjɛn,0.59375
saves,hail,seɪvz,heɪl,0.44999999999999996
saves,dale,seɪvz,deɪl,0.44999999999999996
saves,hale,seɪvz,heɪl,0.44999999999999996
saves,stuff,seɪvz,stəf,0.44999999999999996
saves,cells,seɪvz,sɛlz,0.44999999999999996
saves,rail,seɪvz,reɪl,0.44999999999999996
saves,shale,seɪvz,ʃeɪl,0.44999999999999996
saves,spurs,seɪvz,spərz,0.44999999999999996
saves,spends,seɪvz,spɛnz,0.44999999999999996
saves,sells,seɪvz,sɛlz,0.44999999999999996
saves,sōu,seɪvz,soʊ,0.7
saves,suàn,seɪvz,swan,0.7
saves,suān,seɪvz,swan,0.7
saves,xiān,seɪvz,ɕjɛn,0.7
saves,ài xī,seɪvz,aɪɕi,0.7
saves,sì zhī,seɪvz,sɯʈʂɨ,0.7
saves,pī fā,seɪvz,pʰifa,0.7
saves,sǒng,seɪvz,sʊŋ,0.7
saves,dào dǐ,seɪvz,tɑʊti,0.7
saves,dà yi,seɪvz,tai,0.7
powered,maori,paʊərd,maʊri,0.37499999999999994
powered,donald,paʊərd,dɑnəld,0.37499999999999994
powered,boiled,paʊərd,bɔɪld,0.37499999999999994
powered,mater,paʊərd,mɑtər,0.37499999999999994
powered,bern,paʊərd,bərn,0.37499999999999994
powered,mind,paʊərd,maɪnd,0.37499999999999994
powered,byron,paʊərd,baɪrən,0.37499999999999994
powered,miles,paʊərd,maɪəlz,0.37499999999999994
powered,pollen,paʊərd,pɑlən,0.37499999999999994
powered,howell,paʊərd,haʊəl,0.37499999999999994
powered,xiàn,paʊərd,ɕjɛn,0.6666666666666666
powered,bù dàn,paʊərd,putan,0.6666666666666666
powered,ài hù,paʊərd,aɪxu,0.6666666666666666
powered,bǐng gān,paʊərd,piŋkan,0.6666666666666666
powered,hào kè,paʊərd,xɑʊkʰɤ,0.6666666666666666
powered,hào fèi,paʊərd,xɑʊfeɪ,0.6666666666666666
powered,biǎo gé,paʊərd,pjɑʊkɤ,0.6666666666666666
powered,bù guǎn,paʊərd,pukwan,0.6666666666666666
powered,bù jǐn,paʊərd,putɕin,0.6666666666666666
powered,dá àn,paʊərd,taan,0.6666666666666666
resolutions,transformations,rɛzəluʃənz,trænsfərmeɪʃənz,0.5166666666666666
resolutions,three-dimensional,rɛzəluʃənz,θrizdɪmɛnʃənəl,0.5178571428571428
resolutions,fortifications,rɛzəluʃənz,fɔrtəfəkeɪʃənz,0.5178571428571428
resolutions,specifications,rɛzəluʃənz,spɛsəfəkeɪʃənz,0.5178571428571428
resolutions,organizational,rɛzəluʃənz,ɔrgənəzeɪʃənəl,0.5178571428571428
resolutions,demonstrations,rɛzəluʃənz,dɛmənstreɪʃənz,0.5178571428571428
resolutions,considerations,rɛzəluʃənz,kənsɪdəreɪʃənz,0.5178571428571429
resolutions,representation,rɛzəluʃənz,rɛprəzɛnteɪʃən,0.5178571428571429
resolutions,explanations,rɛzəluʃənz,ɛkspləneɪʃənz,0.5192307692307693
resolutions,longitudinal,rɛzəluʃənz,lɑnʤətudənəl,0.5208333333333334
resolutions,ān wèi,rɛzəluʃənz,anweɪ,0.7749999999999999
resolutions,shù jù,rɛzəluʃənz,ʂutɕy,0.7749999999999999
resolutions,suì,rɛzəluʃənz,sweɪ,0.7749999999999999
resolutions,liǎo bu qǐ,rɛzəluʃənz,ljɑʊputɕʰi,0.7749999999999999
